City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,yatou,37.15,122.3833,26.05,35,60,5.08,CN,1685840271
84,ingeniero jacobacci,-41.3427,-69.5448,2.47,57,0,11.38,AR,1685840271
85,saeby,57.3319,10.5225,8.96,92,22,2.77,DK,1685840271
86,olonkinbyen,70.9221,-8.7187,-0.32,84,100,12.28,SJ,1685840271
87,saint-pierre,-21.3393,55.4781,20.82,64,0,3.09,RE,1685840271
88,madang,-5.2246,145.7966,29.89,67,98,1.07,PG,1685840271
89,st. john's,47.5649,-52.7093,6.55,97,100,8.05,CA,1685840271
90,burang,30.25,81.1667,0.54,71,24,1.3,CN,1685840271
91,port elizabeth,-33.918,25.5701,13.51,72,0,4.12,ZA,1685840146
92,saint-philippe,-21.3585,55.7679,20.77,79,0,4.74,RE,1685840272
93,yeppoon,-23.1333,150.7333,23.88,65,100,5.62,AU,1685840272
94,tazovsky,67.4667,78.7,11.72,70,100,2.42,RU,1685840272
95,sheridan,44.8333,-106.9173,20.81,88,100,0.0,US,1685840272
96,papatowai,-46.5619,169.4708,8.15,81,100,5.41,NZ,1685840272
97,port mathurin,-19.6833,63.4167,24.66,77,18,10.81,MU,1685840115
98,tadine,-21.55,167.8833,23.33,62,80,6.02,NC,1685840272
99,new kingman-butler,35.265,-114.0323,33.79,11,20,5.66,US,1685840089
100,georgetown,5.4112,100.3354,27.96,92,20,1.54,MY,1685840028
101,cabo san lucas,22.8909,-109.9124,28.36,62,1,5.35,MX,1685839990
102,formosa do rio preto,-11.0483,-45.1931,22.36,57,38,1.09,BR,1685840273
103,zboriv,49.6648,25.141,6.37,74,7,3.37,UA,1685840237
104,rahimah,26.7079,50.0619,31.12,40,96,6.66,SA,1685840273
105,lahij,13.1667,44.5833,28.85,63,50,0.93,YE,1685840273
106,bossangoa,6.4926,17.4552,21.36,98,100,1.49,CF,1685840273
107,butajira,8.1167,38.3667,14.89,82,83,1.56,ET,1685840273
108,suklayin,15.7574,121.5503,29.84,68,98,1.92,PH,1685840273
109,port douglas,-16.4833,145.4667,24.33,78,100,5.71,AU,1685840274
110,tobruk,32.0836,23.9764,19.69,83,0,0.35,LY,1685840115
111,kismayo,-0.3582,42.5454,25.84,81,1,5.55,SO,1685840274
112,al jabin,14.704,43.599,17.03,68,18,0.18,YE,1685840274
113,ilulissat,69.2167,-51.1,-1.08,95,100,6.44,GL,1685840274
114,eyl,7.9803,49.8164,27.88,76,100,6.39,SO,1685840274
115,mount pearl,47.5166,-52.7813,6.09,97,100,5.14,CA,1685839990
116,malvan,16.0667,73.4667,29.35,79,16,4.49,IN,1685840274
117,thompson,55.7435,-97.8558,21.09,88,100,2.06,CA,1685840274
118,tongchuanshi,35.0806,109.0897,13.34,93,100,1.63,CN,1685840275
119,mossel bay,-34.1831,22.146,10.96,74,100,4.59,ZA,1685840275
120,vila velha,-20.3297,-40.2925,18.97,94,40,1.03,BR,1685840121
121,leland,34.2563,-78.0447,22.81,87,100,3.58,US,1685840042
122,ushuaia,-54.8,-68.3,2.81,87,0,1.54,AR,1685840275
123,luderitz,-26.6481,15.1594,12.31,85,40,1.63,,1685840275
124,hithadhoo,-0.6,73.0833,28.39,74,100,4.0,MV,1685840275
125,trinidad,-14.8333,-64.9,24.54,79,81,1.41,BO,1685840275
126,krasnyy chikoy,50.3643,108.7512,12.71,73,80,1.73,RU,1685840275
127,hilo,19.7297,-155.09,27.19,71,40,4.63,US,1685840058
128,al kharijah,25.4514,30.5464,31.8,19,100,5.38,EG,1685840276
129,gizo,-8.103,156.8419,28.52,73,90,1.38,SB,1685840276
130,balsas,-7.5325,-46.0356,26.35,52,94,1.94,BR,1685840276
131,puerto baquerizo moreno,-0.9,-89.6,25.79,81,9,4.49,EC,1685840276
132,whitehorse,60.7161,-135.0538,17.79,34,75,6.71,CA,1685840276
133,saint-julien-les-villas,48.2667,4.1,14.98,67,0,0.51,FR,1685840276
134,mansa,29.9833,75.3833,29.39,36,95,1.34,IN,1685840276
135,kargat,55.1956,80.2811,24.84,56,9,0.65,RU,1685840276
136,oppdal,62.5943,9.6912,5.63,79,100,2.48,NO,1685840276
137,leh,34.1667,77.5833,5.33,58,90,1.04,IN,1685840277
138,eastham,41.8301,-69.9739,10.01,83,100,9.39,US,1685840277
139,toamasina,-18.1667,49.3833,19.0,94,20,2.06,MG,1685840277
140,isafjordur,66.0755,-23.124,8.59,94,100,3.92,IS,1685840277
141,chitcani,46.783,29.6168,9.53,63,0,3.68,MD,1685840277
